0,"this agreement is made effective on the date of the purchase of the software between webkul software pvt.ltd.,company incorporated under the companies act, 1956 (hereinafter referred to as licensor), and the purchaser of the software/ product (hereinafter referred to as licensee)."
0,preamble
0,"licensor is a web and mobile product based organization engaged in the business of developing and marketing software for enterprise level e-commerce businesses.it is an iso and nsr (nasscom) certified organization having a team of more than 150 creative engineers which come from different backgrounds.it has developed more than 700 web extensions and apps in the past few years for open source platforms which are used and trusted globally.licensee now wishes to obtain license, and licensor wishes to grant a license, to allow use of the software so purchased in developing the e-commerce business website/ mobile app of the licensee, subject to the terms and conditions set forth herein."
0,"1.definitions.as used in this agreement, the following capitalized terms shall have the definitions set forth below:"
0,"derivative works are works developed by licensee, its officers, agents, contractors or employees, which are based upon, in whole or in part, the source code and/or the documentation and may also be based upon and/or incorporate one or more other preexisting works of the licensor.derivative works may be any improvement, revision, modification, translation (including compilation or recapitulation by computer), abridgment, condensation, expansion, or any other form in which such a preexisting work may be recast, transformed, or adapted.for purposes hereof, a derivative work shall also include any compilation that incorporates such a preexisting work."
0,"documentation is written, printed or otherwise recorded or stored (digital or paper) material relating to the software and/or source code, including technical specifications and instructions for its use including software/ source code annotations and other descriptions of the principles of its operation and instructions for its use."
0,"improvements shall mean, with respect to the software, all modifications and changes made, developed, acquired or conceived after the date hereof and during the entire term of this agreement."
0,2. software license.
0,"(a)grant of license.for the consideration set forth below, licensor hereby grants to licensee, and licensee hereby accepts the worldwide, non-exclusive, perpetual, royalty-free rights and licenses set forth below:"
0,"(i)the right and license to use and incorporate the software, in whole or in part, to develop its website/ mobile app (including the integration of all or part of the licensors software into licensees own software) on one domain (  except joomla modules , listed on store are entitled to be used on unlimited domain as per the standard guidelines ) only, solely for the own personal or business use of the licensee.however, the license does not authorize the licensee to compile, copy or distribute the said software or its derivative works."
0,"(ii)the right and license does not authorize the licensee to share any backup or archival copies of the software and / or the source code and documentation on any public internet space including github , stackoverflow etc .the licensee must ensure that the backup are not accessible to any other person and the licensee must prevent copying / use of source code by any unauthorized persons."
0,(iii)the right and license does not authorize the licensee to migrate the domain license to another domain.
0,(i)licensor shall enable the licensee to download one complete copy of the software.
